date,year,month,total_credit_eur_millions,nfc_credit_eur_millions,household_credit_eur_millions,npl_ratio,credit_growth_rate_yoy,source,country_code
2010-03-31,2010,3,628839.0,265479.6,166772.3,5.2,,BPStat (Banco de Portugal),PT
2010-06-30,2010,6,644234.9,271403.6,167537.5,5.4,,BPStat (Banco de Portugal),PT
2010-09-30,2010,9,653017.3,271870.7,167889.2,5.6,,BPStat (Banco de Portugal),PT
2010-12-31,2010,12,669962.9,278721.4,168658.0,5.8,,BPStat (Banco de Portugal),PT
2011-03-31,2011,3,676275.0,283869.9,167278.2,6.0,,BPStat (Banco de Portugal),PT
2011-06-30,2011,6,698552.2,284156.8,166648.5,6.2,,BPStat (Banco de Portugal),PT
2011-07-31,2011,7,696389.3,284997.0,166306.4,6.4,,BPStat (Banco de Portugal),PT
2011-08-31,2011,8,694075.0,284080.4,165860.9,6.7,,BPStat (Banco de Portugal),PT
2011-09-30,2011,9,703172.5,284245.9,165525.9,6.9,,BPStat (Banco de Portugal),PT
2011-10-31,2011,10,702117.6,284851.9,165038.2,7.1,,BPStat (Banco de Portugal),PT
2011-11-30,2011,11,699819.4,284898.2,164490.2,7.3,,BPStat (Banco de Portugal),PT
2011-12-31,2011,12,696047.3,281520.1,163834.0,7.5,,BPStat (Banco de Portugal),PT
2012-01-31,2012,1,700960.6,280777.3,163271.0,7.7,11.47,BPStat (Banco de Portugal),PT
2012-02-29,2012,2,699122.6,279386.6,163402.8,7.9,8.52,BPStat (Banco de Portugal),PT
2012-03-31,2012,3,699208.7,280132.4,162027.9,8.1,7.07,BPStat (Banco de Portugal),PT
2012-04-30,2012,4,705477.4,280640.0,161587.6,8.3,5.3,BPStat (Banco de Portugal),PT
2012-05-31,2012,5,716781.3,285769.7,161033.6,8.5,5.99,BPStat (Banco de Portugal),PT
2012-06-30,2012,6,707176.0,284089.8,160264.0,8.7,1.23,BPStat (Banco de Portugal),PT
2012-07-31,2012,7,708527.6,285345.5,159755.0,8.9,1.74,BPStat (Banco de Portugal),PT
2012-08-31,2012,8,708157.6,284836.1,159191.2,9.2,2.03,BPStat (Banco de Portugal),PT
2012-09-30,2012,9,709216.1,284796.0,158446.8,9.4,0.86,BPStat (Banco de Portugal),PT
2012-10-31,2012,10,712866.2,285499.0,157716.6,9.6,1.53,BPStat (Banco de Portugal),PT
2012-11-30,2012,11,716323.6,286453.6,157124.0,9.8,2.36,BPStat (Banco de Portugal),PT
