date_key,year,quarter,trade_balance_pct_gdp,current_account_pct_gdp,reer_index,export_growth_yoy,source,country_code
2010-Q1,2010,1,-9.2,-10.92,105.2,9.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2010-Q2,2010,2,-9.2,-10.41,105.2,9.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2010-Q3,2010,3,-9.2,-10.62,105.2,9.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2010-Q4,2010,4,-9.2,-10.0,105.2,9.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2011-Q1,2011,1,-6.0,-7.57,104.8,7.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2011-Q2,2011,2,-6.0,-6.79,104.8,7.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2011-Q3,2011,3,-6.0,-7.45,104.8,7.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2011-Q4,2011,4,-6.0,-7.36,104.8,7.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2012-Q1,2012,1,-1.8,-2.35,103.1,3.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2012-Q2,2012,2,-1.8,-1.7,103.1,3.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2012-Q3,2012,3,-1.8,-2.07,103.1,3.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2012-Q4,2012,4,-1.8,-1.82,103.1,3.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2013-Q1,2013,1,2.5,1.92,100.8,5.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2013-Q2,2013,2,2.5,1.59,100.8,5.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2013-Q3,2013,3,2.5,1.4,100.8,5.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2013-Q4,2013,4,2.5,2.11,100.8,5.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2014-Q1,2014,1,1.2,0.01,99.5,4.3,Eurostat (bop_q6_q) + ECB synthetic,PT
2014-Q2,2014,2,1.2,0.07,99.5,4.3,Eurostat (bop_q6_q) + ECB synthetic,PT
2014-Q3,2014,3,1.2,0.14,99.5,4.3,Eurostat (bop_q6_q) + ECB synthetic,PT
2014-Q4,2014,4,1.2,0.38,99.5,4.3,Eurostat (bop_q6_q) + ECB synthetic,PT
2015-Q1,2015,1,0.8,-0.1,100.0,5.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2015-Q2,2015,2,0.8,0.56,100.0,5.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2015-Q3,2015,3,0.8,0.58,100.0,5.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2015-Q4,2015,4,0.8,-0.04,100.0,5.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2016-Q1,2016,1,1.0,0.76,98.6,4.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2016-Q2,2016,2,1.0,0.25,98.6,4.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2016-Q3,2016,3,1.0,0.6,98.6,4.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2016-Q4,2016,4,1.0,0.47,98.6,4.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2017-Q1,2017,1,0.9,0.1,97.8,7.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2017-Q2,2017,2,0.9,0.8,97.8,7.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2017-Q3,2017,3,0.9,0.21,97.8,7.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2017-Q4,2017,4,0.9,0.54,97.8,7.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2018-Q1,2018,1,-0.3,-0.23,97.2,6.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2018-Q2,2018,2,-0.3,-0.51,97.2,6.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2018-Q3,2018,3,-0.3,-0.2,97.2,6.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2018-Q4,2018,4,-0.3,-0.47,97.2,6.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2019-Q1,2019,1,0.9,0.58,96.9,4.1,Eurostat (bop_q6_q) + ECB synthetic,PT
2019-Q2,2019,2,0.9,0.7,96.9,4.1,Eurostat (bop_q6_q) + ECB synthetic,PT
2019-Q3,2019,3,0.9,-0.08,96.9,4.1,Eurostat (bop_q6_q) + ECB synthetic,PT
2019-Q4,2019,4,0.9,0.55,96.9,4.1,Eurostat (bop_q6_q) + ECB synthetic,PT
2020-Q1,2020,1,-0.5,-1.36,97.5,-14.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2020-Q2,2020,2,-0.5,-0.78,97.5,-14.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2020-Q3,2020,3,-0.5,-1.29,97.5,-14.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2020-Q4,2020,4,-0.5,-1.59,97.5,-14.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2021-Q1,2021,1,-1.1,-2.11,96.8,13.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2021-Q2,2021,2,-1.1,-1.38,96.8,13.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2021-Q3,2021,3,-1.1,-1.71,96.8,13.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2021-Q4,2021,4,-1.1,-1.7,96.8,13.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2022-Q1,2022,1,-0.8,-1.47,95.4,16.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2022-Q2,2022,2,-0.8,-0.83,95.4,16.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2022-Q3,2022,3,-0.8,-1.07,95.4,16.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2022-Q4,2022,4,-0.8,-1.66,95.4,16.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2023-Q1,2023,1,2.3,1.37,96.1,4.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2023-Q2,2023,2,2.3,2.23,96.1,4.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2023-Q3,2023,3,2.3,2.09,96.1,4.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2023-Q4,2023,4,2.3,1.68,96.1,4.2,Eurostat (bop_q6_q) + ECB synthetic,PT
2024-Q1,2024,1,2.7,1.98,96.8,3.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2024-Q2,2024,2,2.7,2.56,96.8,3.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2024-Q3,2024,3,2.7,1.7,96.8,3.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2024-Q4,2024,4,2.7,1.65,96.8,3.8,Eurostat (bop_q6_q) + ECB synthetic,PT
2025-Q1,2025,1,2.4,2.22,97.1,3.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2025-Q2,2025,2,2.4,1.46,97.1,3.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2025-Q3,2025,3,2.4,1.75,97.1,3.5,Eurostat (bop_q6_q) + ECB synthetic,PT
2025-Q4,2025,4,2.4,1.59,97.1,3.5,Eurostat (bop_q6_q) + ECB synthetic,PT
