date,year,quarter,nominal_gdp_eur_millions,real_gdp_eur_millions,nominal_gdp_growth_rate_yoy,nominal_gdp_growth_rate_qoq,gdp_per_capita_eur,source,country_code
2010-03-31,2010,1,44770.7,44817.1,,,17010.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2010-06-30,2010,2,44732.9,44972.4,,-0.08,17010.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2010-09-30,2010,3,45182.5,45137.6,,1.01,17010.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2010-12-31,2010,4,45174.3,44933.2,,-0.02,17010.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2011-03-31,2011,1,44786.8,44731.5,0.04,-0.86,16670.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2011-06-30,2011,2,44256.1,44417.5,-1.07,-1.18,16670.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2011-09-30,2011,3,44054.0,44109.4,-2.5,-0.46,16670.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2011-12-31,2011,4,43221.0,43520.0,-4.32,-1.89,16670.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2012-03-31,2012,1,42832.6,43288.3,-4.36,-0.9,16000.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2012-06-30,2012,2,42011.6,42634.1,-5.07,-1.92,16000.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2012-09-30,2012,3,41942.0,42194.3,-4.79,-0.17,16000.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2012-12-31,2012,4,41752.5,41500.6,-3.4,-0.45,16000.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2013-03-31,2013,1,42045.1,41648.7,-1.84,0.7,16300.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2013-06-30,2013,2,42433.8,42005.2,1.0,0.92,16300.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2013-09-30,2013,3,42911.0,41886.9,2.31,1.12,16300.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2013-12-31,2013,4,43285.7,42407.3,3.67,0.87,16300.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2014-03-31,2014,1,43108.6,42103.1,2.53,-0.41,16620.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2014-06-30,2014,2,43116.0,42219.6,1.61,0.02,16620.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2014-09-30,2014,3,43439.1,42264.2,1.23,0.75,16620.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
