date_key,year,quarter,house_price_index,house_price_yoy_change,avg_price_per_sqm,housing_transactions,mortgage_new_loans,source,country_code
2010-Q4,2010,4,107.4,,840,85000,9600,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2011-Q4,2011,4,102.1,-4.9,800,72000,5900,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2012-Q4,2012,4,94.9,-7.1,740,64000,2800,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2013-Q4,2013,4,93.1,-1.9,730,68000,2200,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2014-Q4,2014,4,97.0,4.2,760,80800,2300,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2015-Q4,2015,4,100.0,3.1,780,107300,3900,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2016-Q4,2016,4,107.1,7.1,840,127100,5700,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2017-Q4,2017,4,117.0,9.2,920,153300,8200,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2018-Q4,2018,4,129.0,10.3,1010,178700,9800,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2019-Q4,2019,4,141.9,10.0,1110,181500,10500,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2020-Q4,2020,4,154.3,8.7,1210,171800,11400,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2021-Q4,2021,4,168.8,9.4,1320,165700,15300,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2022-Q4,2022,4,190.2,12.7,1490,167900,15600,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2023-Q4,2023,4,205.8,8.2,1611,136500,13900,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2024-Q4,2024,4,224.4,9.0,1777,156300,17400,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
2025-Q4,2025,4,263.9,17.6,2076,164700,23300,Eurostat (prc_hpi_q) + INE/BdP synthetic,PT
