date,year,month,hicp_annual_rate,cpi_annual_rate,core_inflation_rate,energy_price_index,food_price_index,source,country_code
2010-01-31,2010,1,0.1,0.1,-0.4,82.6,90.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-02-28,2010,2,0.2,0.2,-0.2,82.9,89.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-03-31,2010,3,0.6,0.6,-0.2,84.8,90.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-04-30,2010,4,0.7,0.7,-0.4,86.4,90.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-05-31,2010,5,1.1,1.1,0.1,86.6,90.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-06-30,2010,6,1.1,1.1,0.2,86.4,91.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-07-31,2010,7,1.9,1.9,0.7,86.6,91.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-08-31,2010,8,2.0,2.0,0.8,86.4,91.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-09-30,2010,9,2.0,2.0,0.6,86.3,91.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-10-31,2010,10,2.3,2.3,1.0,86.4,91.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-11-30,2010,11,2.2,2.2,1.0,87.1,92.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2010-12-31,2010,12,2.4,2.4,0.7,89.5,92.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-01-31,2011,1,3.6,3.6,2.2,93.2,92.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-02-28,2011,2,3.5,3.5,1.7,94.1,92.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-03-31,2011,3,3.9,3.9,2.2,96.2,93.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-04-30,2011,4,4.0,4.0,2.6,97.2,93.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-05-31,2011,5,3.7,3.7,2.3,96.8,93.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-06-30,2011,6,3.3,3.3,2.1,95.7,93.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-07-31,2011,7,3.0,3.0,1.7,96.0,93.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-08-31,2011,8,2.8,2.8,1.4,95.8,94.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-09-30,2011,9,3.5,3.5,2.2,96.3,94.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-10-31,2011,10,4.0,4.0,2.1,100.6,94.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-11-30,2011,11,3.8,3.8,1.9,101.0,94.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2011-12-31,2011,12,3.5,3.5,2.0,100.6,94.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-01-31,2012,1,3.3,3.3,1.6,104.1,95.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-02-29,2012,2,3.5,3.5,2.0,105.0,95.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-03-31,2012,3,3.1,3.1,1.5,106.9,96.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-04-30,2012,4,2.9,2.9,1.2,107.9,96.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-05-31,2012,5,2.7,2.7,1.2,106.2,96.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-06-30,2012,6,2.7,2.7,1.1,104.6,96.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-07-31,2012,7,2.8,2.8,0.9,105.0,97.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-08-31,2012,8,3.1,3.1,1.2,107.4,97.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-09-30,2012,9,2.9,2.9,0.8,108.5,97.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-10-31,2012,10,2.1,2.1,0.7,107.7,98.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-11-30,2012,11,1.9,1.9,0.8,105.9,97.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2012-12-31,2012,12,2.1,2.1,1.1,105.3,97.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-01-31,2013,1,0.4,0.4,-0.4,106.1,98.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-02-28,2013,2,0.2,0.2,-0.7,107.5,98.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-03-31,2013,3,0.7,0.7,0.3,107.0,98.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-04-30,2013,4,0.4,0.4,0.3,105.7,98.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-05-31,2013,5,0.9,0.9,0.6,104.7,99.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-06-30,2013,6,1.2,1.2,0.7,104.6,99.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-07-31,2013,7,0.8,0.8,0.3,105.4,100.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-08-31,2013,8,0.2,0.2,-0.3,105.5,100.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-09-30,2013,9,0.3,0.3,0.3,105.7,99.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-10-31,2013,10,0.0,0.0,0.3,104.3,99.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-11-30,2013,11,0.1,0.1,0.0,103.9,99.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2013-12-31,2013,12,0.2,0.2,0.0,104.6,99.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-01-31,2014,1,0.1,0.1,-0.1,105.5,99.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-02-28,2014,2,-0.1,-0.1,-0.1,105.2,98.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-03-31,2014,3,-0.4,-0.4,-0.3,104.9,98.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-04-30,2014,4,-0.1,-0.1,0.1,105.1,98.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-05-31,2014,5,-0.3,-0.3,0.1,105.1,97.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-06-30,2014,6,-0.2,-0.2,0.2,105.1,98.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-07-31,2014,7,-0.7,-0.7,-0.2,105.2,98.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-08-31,2014,8,-0.1,-0.1,0.8,104.3,98.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-09-30,2014,9,0.0,0.0,0.6,104.3,98.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-10-31,2014,10,0.1,0.1,0.4,102.9,98.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-11-30,2014,11,0.1,0.1,0.4,101.2,99.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2014-12-31,2014,12,-0.3,-0.3,0.3,97.4,99.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-01-31,2015,1,-0.4,-0.4,0.3,96.8,99.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-02-28,2015,2,-0.1,-0.1,0.3,99.1,99.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-03-31,2015,3,0.4,0.4,0.8,101.1,99.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-04-30,2015,4,0.5,0.5,0.4,101.8,99.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-05-31,2015,5,1.0,1.0,0.6,103.6,100.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-06-30,2015,6,0.8,0.8,0.3,103.8,100.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-07-31,2015,7,0.7,0.7,0.4,103.1,100.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-08-31,2015,8,0.7,0.7,0.6,100.7,100.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-09-30,2015,9,0.9,0.9,1.1,98.3,100.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-10-31,2015,10,0.7,0.7,1.0,97.8,100.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-11-30,2015,11,0.6,0.6,0.9,97.8,100.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2015-12-31,2015,12,0.3,0.3,0.4,96.0,99.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-01-31,2016,1,0.7,0.7,0.9,95.5,100.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
