date,year,month,ecb_main_refinancing_rate,euribor_3m,euribor_6m,euribor_12m,portugal_10y_bond_yield,source,country_code
2010-01-31,2010,1,,0.68,0.977,1.232,4.171,ECB Data API,PT
2010-02-28,2010,2,,0.662,0.965,1.225,4.564,ECB Data API,PT
2010-03-31,2010,3,,0.645,0.952,1.215,4.309,ECB Data API,PT
2010-04-30,2010,4,,0.645,0.955,1.225,4.777,ECB Data API,PT
2010-05-31,2010,5,,0.687,0.982,1.249,5.021,ECB Data API,PT
2010-06-30,2010,6,,0.728,1.012,1.281,5.544,ECB Data API,PT
2010-07-31,2010,7,,0.849,1.104,1.373,5.493,ECB Data API,PT
2010-08-31,2010,8,,0.896,1.147,1.421,5.306,ECB Data API,PT
2010-09-30,2010,9,,0.88,1.137,1.42,6.077,ECB Data API,PT
2010-10-31,2010,10,,0.998,1.224,1.495,6.049,ECB Data API,PT
2010-11-30,2010,11,,1.042,1.269,1.54,6.912,ECB Data API,PT
2010-12-31,2010,12,,1.022,1.251,1.526,6.527,ECB Data API,PT
2011-01-31,2011,1,,1.017,1.254,1.55,6.945,ECB Data API,PT
2011-02-28,2011,2,,1.087,1.352,1.714,7.336,ECB Data API,PT
2011-03-31,2011,3,,1.176,1.483,1.924,7.796,ECB Data API,PT
2011-04-30,2011,4,1.25,1.321,1.621,2.086,9.186,ECB Data API,PT
2011-05-31,2011,5,1.25,1.425,1.707,2.147,9.633,ECB Data API,PT
2011-06-30,2011,6,1.25,1.489,1.749,2.144,10.865,ECB Data API,PT
2011-07-31,2011,7,1.5,1.598,1.818,2.183,12.152,ECB Data API,PT
2011-08-31,2011,8,1.5,1.552,1.755,2.097,10.93,ECB Data API,PT
2011-09-30,2011,9,1.5,1.536,1.736,2.067,11.341,ECB Data API,PT
2011-10-31,2011,10,1.5,1.576,1.776,2.11,11.716,ECB Data API,PT
2011-11-30,2011,11,1.25,1.485,1.706,2.044,11.892,ECB Data API,PT
2011-12-31,2011,12,1.0,1.426,1.671,2.004,13.079,ECB Data API,PT
2012-01-31,2012,1,1.0,1.222,1.505,1.837,13.849,ECB Data API,PT
2012-02-29,2012,2,1.0,1.048,1.345,1.678,12.814,ECB Data API,PT
2012-03-31,2012,3,1.0,0.858,1.164,1.498,13.007,ECB Data API,PT
2012-04-30,2012,4,1.0,0.744,1.04,1.368,12.006,ECB Data API,PT
2012-05-31,2012,5,1.0,0.685,0.97,1.266,11.585,ECB Data API,PT
2012-06-30,2012,6,1.0,0.659,0.935,1.219,10.557,ECB Data API,PT
2012-07-31,2012,7,0.75,0.497,0.779,1.061,10.492,ECB Data API,PT
2012-08-31,2012,8,0.75,0.332,0.606,0.877,9.885,ECB Data API,PT
2012-09-30,2012,9,0.75,0.246,0.484,0.74,8.62,ECB Data API,PT
2012-10-31,2012,10,0.75,0.208,0.412,0.65,8.173,ECB Data API,PT
2012-11-30,2012,11,0.75,0.192,0.36,0.588,8.32,ECB Data API,PT
2012-12-31,2012,12,0.75,0.185,0.324,0.549,7.252,ECB Data API,PT
2013-01-31,2013,1,0.75,0.205,0.344,0.575,6.24,ECB Data API,PT
2013-02-28,2013,2,0.75,0.223,0.362,0.594,6.396,ECB Data API,PT
2013-03-31,2013,3,0.75,0.206,0.329,0.545,6.102,ECB Data API,PT
2013-04-30,2013,4,0.75,0.209,0.324,0.528,6.152,ECB Data API,PT
2013-05-31,2013,5,0.5,0.201,0.299,0.484,5.456,ECB Data API,PT
2013-06-30,2013,6,0.5,0.21,0.321,0.507,6.298,ECB Data API,PT
2013-07-31,2013,7,0.5,0.221,0.336,0.525,6.869,ECB Data API,PT
2013-08-31,2013,8,0.5,0.226,0.342,0.542,6.598,ECB Data API,PT
2013-09-30,2013,9,0.5,0.223,0.34,0.543,7.062,ECB Data API,PT
2013-10-31,2013,10,0.5,0.226,0.342,0.541,6.333,ECB Data API,PT
2013-11-30,2013,11,0.25,0.223,0.327,0.506,5.978,ECB Data API,PT
