date_key,year,quarter,nuts2_code,nuts2_name,gdp_per_capita_pps,gdp_index_eu27,unemployment_rate,youth_unemployment_rate,source,country_code
2010-Q4,2010,4,PT11,Norte,14800.0,54.8,12.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2010-Q4,2010,4,PT15,Alentejo,12000.0,44.4,10.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2010-Q4,2010,4,PT16,Centro,12800.0,47.4,11.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2010-Q4,2010,4,PT17,Lisboa,22000.0,81.5,11.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2010-Q4,2010,4,PT18,Algarve,16500.0,61.1,14.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2010-Q4,2010,4,PT20,Açores,13500.0,50.0,10.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2010-Q4,2010,4,PT30,Madeira,15200.0,56.3,9.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2011-Q4,2011,4,PT11,Norte,14500.0,53.7,14.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2011-Q4,2011,4,PT15,Alentejo,11800.0,43.7,12.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2011-Q4,2011,4,PT16,Centro,12500.0,46.3,13.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2011-Q4,2011,4,PT17,Lisboa,21800.0,80.7,13.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2011-Q4,2011,4,PT18,Algarve,16200.0,60.0,17.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2011-Q4,2011,4,PT20,Açores,13200.0,48.9,13.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2011-Q4,2011,4,PT30,Madeira,14900.0,55.2,12.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2012-Q4,2012,4,PT11,Norte,13900.0,51.5,16.1,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2012-Q4,2012,4,PT15,Alentejo,11200.0,41.5,14.9,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2012-Q4,2012,4,PT16,Centro,11900.0,44.1,15.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2012-Q4,2012,4,PT17,Lisboa,21200.0,78.5,15.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2012-Q4,2012,4,PT18,Algarve,15500.0,57.4,19.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2012-Q4,2012,4,PT20,Açores,12600.0,46.7,15.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2012-Q4,2012,4,PT30,Madeira,14200.0,52.6,14.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2013-Q4,2013,4,PT11,Norte,13600.0,50.4,17.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2013-Q4,2013,4,PT15,Alentejo,10900.0,40.4,16.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2013-Q4,2013,4,PT16,Centro,11600.0,43.0,16.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2013-Q4,2013,4,PT17,Lisboa,21000.0,77.8,16.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2013-Q4,2013,4,PT18,Algarve,15200.0,56.3,21.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2013-Q4,2013,4,PT20,Açores,12200.0,45.2,17.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2013-Q4,2013,4,PT30,Madeira,13900.0,51.5,15.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2014-Q4,2014,4,PT11,Norte,13800.0,51.1,16.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2014-Q4,2014,4,PT15,Alentejo,11100.0,41.1,15.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2014-Q4,2014,4,PT16,Centro,11800.0,43.7,16.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2014-Q4,2014,4,PT17,Lisboa,21500.0,79.6,15.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2014-Q4,2014,4,PT18,Algarve,15500.0,57.4,19.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2014-Q4,2014,4,PT20,Açores,12500.0,46.3,16.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2014-Q4,2014,4,PT30,Madeira,14200.0,52.6,15.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2015-Q4,2015,4,PT11,Norte,14200.0,52.6,14.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2015-Q4,2015,4,PT15,Alentejo,11500.0,42.6,13.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2015-Q4,2015,4,PT16,Centro,12200.0,45.2,13.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2015-Q4,2015,4,PT17,Lisboa,22500.0,83.3,13.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2015-Q4,2015,4,PT18,Algarve,16200.0,60.0,16.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2015-Q4,2015,4,PT20,Açores,13000.0,48.1,13.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2015-Q4,2015,4,PT30,Madeira,14900.0,55.2,12.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2016-Q4,2016,4,PT11,Norte,14800.0,54.8,11.9,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2016-Q4,2016,4,PT15,Alentejo,11900.0,44.1,10.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2016-Q4,2016,4,PT16,Centro,12800.0,47.4,11.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2016-Q4,2016,4,PT17,Lisboa,23800.0,88.1,10.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2016-Q4,2016,4,PT18,Algarve,17200.0,63.7,13.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2016-Q4,2016,4,PT20,Açores,13600.0,50.4,11.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2016-Q4,2016,4,PT30,Madeira,15800.0,58.5,10.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2017-Q4,2017,4,PT11,Norte,15500.0,57.4,9.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2017-Q4,2017,4,PT15,Alentejo,12400.0,45.9,8.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2017-Q4,2017,4,PT16,Centro,13500.0,50.0,9.1,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2017-Q4,2017,4,PT17,Lisboa,25200.0,93.3,8.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2017-Q4,2017,4,PT18,Algarve,18500.0,68.5,10.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2017-Q4,2017,4,PT20,Açores,14200.0,52.6,9.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2017-Q4,2017,4,PT30,Madeira,16800.0,62.2,8.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2018-Q4,2018,4,PT11,Norte,16100.0,59.6,8.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2018-Q4,2018,4,PT15,Alentejo,12900.0,47.8,7.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2018-Q4,2018,4,PT16,Centro,14200.0,52.6,7.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2018-Q4,2018,4,PT17,Lisboa,26500.0,98.1,7.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2018-Q4,2018,4,PT18,Algarve,19800.0,73.3,8.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2018-Q4,2018,4,PT20,Açores,14900.0,55.2,8.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2018-Q4,2018,4,PT30,Madeira,17900.0,66.3,7.2,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2019-Q4,2019,4,PT11,Norte,16800.0,62.2,7.1,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2019-Q4,2019,4,PT15,Alentejo,13500.0,50.0,7.8,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2019-Q4,2019,4,PT16,Centro,14900.0,55.2,6.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2019-Q4,2019,4,PT17,Lisboa,27800.0,103.0,6.0,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2019-Q4,2019,4,PT18,Algarve,20800.0,77.0,7.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
2019-Q4,2019,4,PT20,Açores,15600.0,57.8,9.5,,"Eurostat (nama_10r_2gdp, lfst_r_lfu3rt)",PT
