date,year,month,unemployment_rate,youth_unemployment_rate,long_term_unemployment_rate,labour_force_participation_rate,source,country_code
2010-01-31,2010,1,11.8,27.2,,,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-02-28,2010,2,12.1,27.5,,,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-03-31,2010,3,12.2,27.3,5.9,73.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-04-30,2010,4,12.5,27.6,6.03,73.73,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-05-31,2010,5,12.7,27.2,6.17,73.67,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-06-30,2010,6,12.9,30.5,6.3,73.6,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-07-31,2010,7,12.9,29.9,6.4,73.63,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-08-31,2010,8,12.9,29.3,6.5,73.67,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-09-30,2010,9,12.8,28.9,6.6,73.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-10-31,2010,10,12.6,27.9,6.53,73.67,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-11-30,2010,11,12.8,27.9,6.47,73.63,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2010-12-31,2010,12,12.8,27.6,6.4,73.6,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-01-31,2011,1,12.8,27.4,6.4,73.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-02-28,2011,2,12.8,27.1,6.4,73.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-03-31,2011,3,13.1,28.4,6.4,73.9,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-04-30,2011,4,13.1,27.7,6.5,73.87,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
